MÔ TẢ                                                                                                                                                                                                                                              ,AESC        ,KLS
"Dụng cụ bẩy chân răng hàm trên London Hospital Coleman, thẳng,  tay cầm có khía chéo"                                                                                                                                                             ,DL050R      ,42-405-01-07
#N/A                                                                                                                                                                                                                                               ,EA441R      ,30-535-30-07
"Dụng cụ đánh bóng răng White, tay cầm sáu cạnh, dài 150mm"                                                                                                                                                                                        ,DF033R      ,0
"Dụng cụ nạo tuyến yên Hardy, dáng lưỡi lê, cán tròn, mũi gập sang phải 90 °, mũi ngắn, hơi nhọn, đường kính 6mm, dài 280mm, chiều dài hoạt động 130mm"                                                                                            ,FA066R      ,99-999-99-99
"Móc cửa sổ tai giữa Shambaugh, gập góc 90°,  dài 160mm, mũi rộng 0,80mm"                                                                                                                                                                          ,OG013R      ,99-999-99-99
"Kẹp tử cung Segond, cong, ngàm có khía, khớp vít, dài 240mm"                                                                                                                                                                                      ,BJ541R      ,13-635-20-07
"Cây dũa xương nha khoa Buser Ergoplant, hai đầu, rộng 3mm, 5mm, dài 190mm"                                                                                                                                                                        ,DX254R      ,0
#N/A                                                                                                                                                                                                                                               ,MD667R      ,0
"Banh khí quản Bose, cong trái, 1 răng nhọn, dài 165mm"                                                                                                                                                                                            ,FA025R      ,99-999-99-99
"MŨI MÀI MỊN DIAMOND HI-LINE XS II, ĐƯỜNG KÍNH 5MM"                                                                                                                                                                                                ,GE518SU     ,99-999-99-99
"Cây nong cô tử cung Pratt, hai đầu, số 37-39, dài 290mm"                                                                                                                                                                                          ,EM277R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,GB978R      ,99-999-99-99
"Kẹp lưỡng cực, thẳng, hình lưỡi lê, dài 205mm, chiều dài sử dụng 90mm, ngàm rộng 0,70mm"                                                                                                                                                          ,GK844R      ,0
                                                                                                                                                                                                                                                   ,GF026B      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MB052R      ,99-999-99-99
BỘ KHAY VÀ GIÁ GÀI ECCOS ĐỰNG MÁY BÀO DA ACCULAN 3TI                                                                                                                                                                                               ,GB256R      ,99-999-99-99
"Kẹp mạch máu Pean, thẳng, đầu tù, dài 130mm"                                                                                                                                                                                                      ,BH422R      ,13-374-13-07
"Ông dẫn sáng cho vùng ánh sáng OR, loại ngắn, cong 45°"                                                                                                                                                                                           ,OP801       ,0
TAY KHOAN MÀI  VI PHẪU CAO TỐC GẬP GÓC HI-LINE XS SỐ XL-III                                                                                                                                                                                        ,GB773R      ,99-999-99-99
"Kẹp mang  kim vi phẫu Barraquer,   thẳng, ngàm trơn, cán tròn,  có khóa cài, cán kiểu nhíp, dài 120mm, dùng cho chỉ 9/0-11/0"                                                                                                                     ,FD232R      ,20-298-10-07
#N/A                                                                                                                                                                                                                                               ,MB274R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MF556R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,GA713R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,EF810R      ,31-599-28-07
#N/A                                                                                                                                                                                                                                               ,BA244R      ,99-999-99-99
"MŨI MÀI THÔ DIAMOND HI-LINE I, ĐƯỜNG KÍNH 6,5MM"                                                                                                                                                                                                  ,GD717R      ,99-999-99-99
"Khay silicone để đặt khay lưới, kích thước 227 x 30 mm"                                                                                                                                                                                           ,JG372       ,0
"Dụng cụ nạo V.A Negus, số 2"                                                                                                                                                                                                                      ,OM512R      ,37-756-03-07
#N/A                                                                                                                                                                                                                                               ,MA256R      ,99-999-99-99
"LƯỠI CƯA LẮC THÁO LẮP NHANH, KÍCH THƯỚC 90/19/1.27MM"                                                                                                                                                                                             ,GE241SU     ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG381R      ,99-999-99-99
"Kẹp vi phẫu động mạch Mueller, thẳng, không chấn thương, ngàm có khía chéo mịn, lực đóng 0,80N"                                                                                                                                                   ,FE020K      ,99-999-99-99
"Dụng cụ róc xương Kraemer, cong nhẹ, đầu nhọn, dài 185mm, đầu rộng 10mm"                                                                                                                                                                          ,FK390R      ,99-999-99-99
"Dao mổ thép carbon dùng một lần, số 23, cán nhựa, hộp 10 chiếc"                                                                                                                                                                                   ,BA223       ,10-285-23-04
"Nhíp mô Officier, thẳng, ngàm có răng (4x5), dài 150mm"                                                                                                                                                                                           ,BD598R      ,12-367-15-07
"Kẹp phẩu thuật gắp mô phổi FOERSTER, ngàm oval gấp góc 15° dài 63 mm, mở 2 bên, đường kính 7mm, chiều dài 250 mm"                                                                                                                                 ,FC810R      ,0
Dây xịt máy Elan 4 - ống nối                                                                                                                                                                                                                       ,GB600860    ,0
"Dây nguồn kiểu Anh, màu đen"                                                                                                                                                                                                                      ,TE734       ,0
#N/A                                                                                                                                                                                                                                               ,MN112R      ,99-999-99-99
"Banh vết thương Rose, hai đầu, dài 130mm, kích thước 10 x 12mm, 11 x 15mm"                                                                                                                                                                        ,BT011R      ,27-143-13-07
#N/A                                                                                                                                                                                                                                               ,MN024R      ,99-999-99-99
"Dụng cụ gặm xương Kerrison, kiểu mỏng, cong lên trên 130°, không có bộ phận đẩy mô, không tháo rời được, dài 180mm, ngàm rộng 5mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                             ,FF770R      ,24-979-33-07
                                                                                                                                                                                                                                                   ,GB863P      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG080R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA757R      ,0
"Kéo phẫu tích Metzenbaum (Baby) Durotip TC, mảnh, cong, mũi tù/tù, cán vàng, dài 145mm"                                                                                                                                                           ,BC259R      ,11-955-14-07
"Dao phẫu tích lỗ rò Simon, lưỡi hẹp, dài 200mm"                                                                                                                                                                                                   ,BA604R      ,99-999-99-99
DS-SINGLE FIRE LAP.APPLIER L 12/310MM                                                                                                                                                                                                              ,PL808R      ,0
#N/A                                                                                                                                                                                                                                               ,LX211R      ,22-581-05-07
"Kẹp phẫu tích tai Wullstein, thẳng, hình súng, ngàm oval, dài 80mm, kích thước ngàm 1,7 x 2,5 mm"                                                                                                                                                 ,OG348R      ,99-999-99-99
"Banh âm đạo Seyfert, dài 230mm, kích thước 110 x 33mm"                                                                                                                                                                                            ,EL182R      ,32-132-02-01
Thiết bị thử nghiệm tần số cao                                                                                                                                                                                                                     ,TE742       ,0
#N/A                                                                                                                                                                                                                                               ,FF674R      ,24-979-05-07
"Dụng cụ nạo, số 1, dáng lưỡi lê, mũi nhọn, thẳng về sau, dài 240mm, chiều dài hoạt động 105mm"                                                                                                                                                    ,MF306R      ,23-998-31-07
"LƯỠI CƯA LẮC THÁO LẮP NHANH, KÍCH THƯỚC 90/23/1.37MM"                                                                                                                                                                                             ,GE247SU     ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG125R      ,99-999-99-99
"Thân dụng cụ gặm cột sống Arthcut, kiểu hiện đại, ngàm cong lên 20 °, kiểu mảnh, kích thước 6,5 x 1,6 mm, sử dụng cùng FO725R, FO728R"                                                                                                            ,FO748R      ,99-999-99-99
"Kẹp lưỡng cực Caspar, thẳng, hình lưỡi lê, dài 165mm, chiều dài sử dụng 70mm, ngàm rộng 2mm"                                                                                                                                                      ,GK920R      ,80-993-17-04
"Kẹp lưỡng cực Caspar, thẳng, hình lưỡi lê, dài 220mm, chiều dài sử dụng 125mm, ngàm rộng 0,50mm"                                                                                                                                                  ,GK960R      ,80-991-23-04
                                                                                                                                                                                                                                                   ,GB988R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MD066R      ,32-460-14-01
"MŨI MÀI MỊN DIAMOND HI-LINE XS III, ĐƯỜNG KÍNH 2,3MM"                                                                                                                                                                                             ,GE614R      ,99-999-99-99
DISP.TROCAR W.DILATING PIN 10/110MM                                                                                                                                                                                                                ,EK224SU     ,99-999-99-99
"Kẹp mang kim Croce-Olmi Adtec TC hoàn chỉnh, thẳng, ngàm khuyết, dài 310mm, đường kính 5mm"                                                                                                                                                       ,PL410R      ,0
"Đáy hộp đựng và bảo quản dụng cụ phẫu thuật, không có lỗ thoát khí, loại chuẩn, cỡ 1/1, kích thước ngoài 300 x 274 x 187mm, kích thước trong 254 x 258x 172mm"                                                                                    ,JK344       ,55-230-04-04
"Kẹp vi phẫu Diadust, thẳng, cán lõm, mũi bằng, ngàm phủ bụi kim cương, chất liệu Titanium, màu vàng chanh, dài 230mm"                                                                                                                             ,FM329T      ,12-580-21-09
                                                                                                                                                                                                                                                   ,BC535R      ,11-383-01-07
"Đáy hộp đựng và bảo quản dụng cụ phẫu thuật, có lỗ thoát khí, loại chuẩn, cỡ 1/1, kích thước ngoài 300 x 274 x 247mm"                                                                                                                             ,JN346       ,55-231-05-04
"Ruột kẹp  ruột dài phẫu tích nội soi đơn cực Dorsey Adtec, thẳng, ngàm có khía, khuyết, hoạt động đôi, dài 310mm, đường kính ngàm 5mm"                                                                                                            ,PO618R      ,0
"Kìm cắt xương Liston, gập góc, dài 200mm"                                                                                                                                                                                                         ,FO634R      ,23-935-19-07
"Kẹp mạch máu không chấn thương Pean Atraumata, cong, ngàm có răng De Bakey, dài 155mm, ngàm dài 50mm"                                                                                                                                             ,FB445R      ,24-439-14-07
#N/A                                                                                                                                                                                                                                               ,MN021R      ,99-999-99-99
"Kìm nhổ răng số 8 hàm trên Anatomica, bản rộng, số 67 A"                                                                                                                                                                                          ,DG252R      ,40-067-01-07
#N/A                                                                                                                                                                                                                                               ,GK681R      ,0
#N/A                                                                                                                                                                                                                                               ,EA998R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FB861R      ,15-593-02-01
"Dụng cụ gặm cột sống Kerrison Noir, kiểu chuẩn, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 5mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                                     ,FK904B      ,24-978-33-14
"Banh tự giữ, loại mini, 3 x 3 răng, đầu nhọn, dài 25mm"                                                                                                                                                                                           ,BV021R      ,24-230-02-07
#N/A                                                                                                                                                                                                                                               ,MB312R      ,37-572-19-07
"ĐỤC LAMBOTTE, THẲNG, RỘNG 38MM, DÀI 230MM"                                                                                                                                                                                                        ,MB646R      ,23-138-38-07
"Ruột kẹp phẫu tích mạch máu nội soi đơn cực không chấn thương Đức Bakey Adtec Vascular, thẳng, hoạt động đôi, ngàm có răng Đức Bakey, dài 420mm, đường kính 5mm, ngàm dài 50mm"                                                                   ,PO657R      ,0
"Nhíp vi phẫu, loại Jeweler, thẳng, ngàm có răng (1x2), dài 135mm, ngàm rộng 0,40mm"                                                                                                                                                               ,BD345R      ,99-999-99-99
"Kẹp giữ xương Lambotte, loại nhỡ, linh động, có khóa cài, dài 260mm, ngàm rộng 13mm"                                                                                                                                                              ,FO161R      ,23-749-26-07
"Kẹp tử cung Wertheim-Cullen, gập góc, ngàm có khía dọc, dài 215mm"                                                                                                                                                                                ,BJ579R      ,13-625-21-07
"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 80 x 20mm"                                                                                                                                                                                   ,BT508R      ,15-559-08-07
"Tay dao bào da Goulian, dài 180mm"                                                                                                                                                                                                                ,BA710R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MB941A      ,0
"Nạo tử cung Uchida (Modif. N. Burke), cong, dài 270mm"                                                                                                                                                                                            ,BM976R      ,99-999-99-99
Đầu nối lục giác Aesculap                                                                                                                                                                                                                          ,GB413R      ,99-999-99-99
"Kìm gặm xương Frykholm, gập góc bên, hoạt động đôi, dài 240mm"                                                                                                                                                                                    ,FO525R      ,23-909-24-07
"Cây nạo xương, số 000, thẳng, dài tay cầm chất liệu Peek, 220mm, đầu rộng 3,60mm"                                                                                                                                                                 ,FK773R      ,99-999-99-99
"Móc chỉ khâu Adtec Monopolar, dài 330mm, đường kính 5mm"                                                                                                                                                                                          ,PO193R      ,0
#N/A                                                                                                                                                                                                                                               ,MB484R      ,0
#N/A                                                                                                                                                                                                                                               ,MB464R      ,0
Hộp đựng băng gạc                                                                                                                                                                                                                                  ,DO315R      ,0
#N/A                                                                                                                                                                                                                                               ,MA518R      ,18-649-12-01
                                                                                                                                                                                                                                                   ,GP337R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MD666R      ,0
"Kéo phẫu tích nội soi đơn cực Adtec hoàn chỉnh, thẳng, có thể tháo rời, cách điện, hoạt động đơn, dài 310mm, đường kính 5mm. Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."                                                       ,PO002R      ,0
#N/A                                                                                                                                                                                                                                               ,BV391R      ,15-775-40-07
"Kẹp giữ chỉ Michel, kích cỡ 20mm x 3mm"                                                                                                                                                                                                           ,BN520R      ,09-003-82-99
"Kẹp xương sàng Watson-Williams, loại trung bình, dài 120mm"                                                                                                                                                                                       ,OK529R      ,37-241-12-07
"Dụng cụ phẫu tích Amidan Hurd, hai đầu, dài 215mm, rộng 10mm"                                                                                                                                                                                     ,OM661R      ,39-281-22-07
"Búa Heath, tay cầm chất liệu Peek, khối lượng 850g, 500g, đường kính 40mm, dài 240mm"                                                                                                                                                             ,FL068R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG131R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FH637R      ,99-999-99-99
"Que nong ống mật Bakes, dễ uốn, dài 320mm, đường kính đầu 8mm"                                                                                                                                                                                    ,EB068R      ,31-170-08-01
#N/A                                                                                                                                                                                                                                               ,MA543R      ,99-999-99-99
"Kẹp ống dẫn Klinikum Berlin, loại khỏe, thẳng, ngàm có khía, khớp hộp, có khóa cài dài, dài 145mm"                                                                                                                                                ,AN908R      ,13-940-14-07
"Ống hút, cỡ lớn 6FR, đầu hình giọt nước, thon, đường kính 2mm, dài 205mm, chiều dài hoạt động 140mm"                                                                                                                                              ,GF414R      ,18-559-06-01
"Kẹp mang kim vi phẫu Diadust, thẳng, ngàm phủ bụi kim cương, cán dẹt, có khóa cài, cán kiểu nhíp, màu vàng, dài 210mm, dùng cho chỉ tới 5/0"                                                                                                      ,FM551R      ,20-010-21-07
"Banh vết thương Farabeuf, loại lớn, hai đầu, dài 150mm, bộ 2 chiếc, kích thước 20 x 16mm, 23 x 16mm, 24 x 16mm, 28 x 16mm"                                                                                                                        ,BT021R      ,15-665-00-07
"Banh vết thương Langenbeck-Green, dài 160mm, kích thước lưỡi 16 x 6mm"                                                                                                                                                                            ,BT177R      ,15-301-16-07
Bộ giữ đầu camera 2D                                                                                                                                                                                                                               ,PV826       ,0
"Dụng cụ đùn xương đầu hình chữ nhật vát góc, cạnh 17x7 mm, dài 300 mm"                                                                                                                                                                            ,ND586NR     ,0
#N/A                                                                                                                                                                                                                                               ,MA766R      ,0
                                                                                                                                                                                                                                                   ,GB067R      ,99-999-99-99
"Ruột forcep Babcock Atec mini Phẫu thuật nội soi, đơn cực, không sang chấn, thẳng, đường kính 3.5mm, dài 200mm, cấu tạo gồm 2 phần chất liệu thép không gỉ tháo rời được."                                                                        ,PO367R      ,0
"Đục xương Lambotte, lưỡi vát 2 bên, dài 125mm, lưỡi rộng 4mm"                                                                                                                                                                                     ,FL101R      ,23-136-04-07
                                                                                                                                                                                                                                                   ,GF268R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA829R      ,0
"MŨI MÀI MỊN DIAMOND HI-LINE XS III, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                               ,GE617SU     ,99-999-99-99
"Kéo phẫu tích Toennis-Adson Durotip TC, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, cán vàng, dài 175mm"                                                                                                                                                ,BC273W      ,11-893-17-07
"Ống cách điện ngoài, chất liệu Peek, dài 310mm, đường kính hai đầu 5mm/10mm, sử dụng cùng PO103R;PO105R;PO141R;PO188R"                                                                                                                            ,PM975R      ,0
"Đục xương, lưỡi vát 1 bên, thẳng, tay cầm chất liệu Peek, dài 200mm, lưỡi rộng 20mm"                                                                                                                                                              ,DO754R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG192R      ,99-999-99-99
"Dụng cụ gặm cột sống Kerrison Noir, mảnh, kiểu chuẩn, cong lên trên 130°, không có bộ phận đẩy mô, tháo rời được, dài 230mm, ngàm rộng 2mm, ngàm mở 9mm"                                                                                          ,FK925B      ,24-979-13-14
"Kẹp mang kim phẩu thuật DUROGRIP, ngàm thẳng, rãnh răng cưa cao 0.5 mmm phủ tungsten, dài 25 mm, đường kính 7 mm, chiều dài sử dụng 250 mm "                                                                                                      ,FC844R      ,0
"Kẹp phẫu tích nội soi đơn cực Maryland Adtec Monopolar, cong, ngàm có khía, hoạt động đôi, dài 420mm, đường kính ngàm 5mm, bao gồm PM981R, PO752R, PO958R"                                                                                        ,PO202R      ,0
"Dụng cụ bẩy xương tai Zaufal, mũi tù, dài 150mm"                                                                                                                                                                                                  ,OF274R      ,36-563-16-07
"Kẹp mang kim Masson Durogrip TC, thẳng,  bước răng 0,50mm, dùng cho chỉ tới 3/0, dài 265mm"                                                                                                                                                       ,BM090R      ,20-648-27-07
"Kẹp săng Lane, thẳng, ngàm có răng 1x2, dài 195mm"                                                                                                                                                                                                ,BF452R      ,13-935-20-07
                                                                                                                                                                                                                                                   ,JF155R      ,99-999-99-99
"Kẹp sinh thiết Schumacher, thẳng, dài 240mm"                                                                                                                                                                                                      ,ER064R      ,32-861-02-07
"Que quấn bông Kings's College Hospital, thẳng, đầu xoắn ốc, có khía, dài 90mm"                                                                                                                                                                    ,BN403       ,99-999-99-99
                                                                                                                                                                                                                                                   ,G-540       ,0
"Nhíp phẫu tích Pattern Sweden, thẳng, ngàm có khía, dài 170mm"                                                                                                                                                                                    ,BD068R      ,12-135-17-07
"Banh âm đạo Kristeller, bộ gồm lưỡi banh trên và dưới, dài 220mm, kích thước 110 x 36 mm"                                                                                                                                                         ,EL428R      ,32-205-03-01
Kìm nhổ chân răng hàm trên Kaiser Anatomica                                                                                                                                                                                                        ,DG340R      ,40-097-00-07
"Kẹp cầm máu lưỡng cực, thẳng, dài 120mm, ngàm rộng 0,60mm"                                                                                                                                                                                        ,GK595R      ,80-910-12-04
"Cây đè lưỡi Lack, cong, rộng 19mm"                                                                                                                                                                                                                ,OM221R      ,99-999-99-99
"Dụng cụ thăm khám và cạo cao răng Gracey Anatomic Colours, số 11/12 hai đầu, gập góc, tay cầm tiện lợi chất liệu Peek, màu đỏ, dài 175mm"                                                                                                         ,DB385R      ,43-337-12-07
#N/A                                                                                                                                                                                                                                               ,BV384R      ,15-774-55-07
"Kẹp cố định cho khay và hộp bảo quản dụng cụ phẫu thuật, chiều dài 65mm, chiều rộng 20mm, chiều cao 20mm"                                                                                                                                         ,JF484R      ,55-996-24-01
                                                                                                                                                                                                                                                   ,GK827R      ,0
"Vén rễ thần kinh Krayenbuehl, gập góc 90°, đầu thăm, cán tròn, dài 185mm"                                                                                                                                                                         ,FD396R      ,24-940-01-07
#N/A                                                                                                                                                                                                                                               ,MB855R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FE995K      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FB823R      ,99-999-99-99
"Kéo vi phẫu Mueller, thẳng, màu xanh da trời, mũi nhọn/nhọn, cán nhựa tròn, dài 120mm"                                                                                                                                                            ,FM010R      ,11-370-02-07
                                                                                                                                                                                                                                                   ,FB963R      ,99-999-99-99
"Cán gương soi nha khoa, tay cầm chất liệu Peek, , màu xanh lá cây, , dài 135mm"                                                                                                                                                                   ,DA092       ,0
"Bộ Trocar nong, màu xanh lá cây, đường kính 5,5 - 10mm"                                                                                                                                                                                           ,EJ477R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,OG006R      ,36-024-02-07
"Kéo rạch tầng sinh môn, cong về bên, một lưỡi có khía, dài 240mm"                                                                                                                                                                                 ,ET142R      ,11-531-18-07
"Kẹp nối mạch máu De Martel-Wolfson, thẳng, dài 120mm"                                                                                                                                                                                             ,EA332R      ,30-496-10-07
"Cáp kết nối lưỡng cực, dài 3,5m, dùng để nối máy Codman với dụng cụ Aesculap"                                                                                                                                                                     ,GK217       ,0
"MŨI KHOAN XOẮN HI-LINE XS, DÙNG CHO GB740R, ĐƯỜNG KÍNH 1,1MM"                                                                                                                                                                                     ,GE391SU     ,99-999-99-99
                                                                                                                                                                                                                                                   ,OG056R      ,36-036-02-07
#N/A                                                                                                                                                                                                                                               ,MA763R      ,0
"Dụng cụ gặm xương Arthcut hoàn chỉnh, gập góc 20 ° lên, loại chuẩn, kiểu cổ điển, kích thước 5,5 x 2,4 mm, bao gồm FO725R, FO728R, FO774R"                                                                                                        ,FO674R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA542R      ,99-999-99-99
